,tag,content,counts,link_next,link_prev,label
0,html body text title  ,农机专家李金泽：为农机行业搭建现代化信息平台_振兴东北,6,0,0,0
1,html body text table tr td table tr td span  ,当前位置：,57,1,0,0
2,html body text table tr td table tr td span a  ,首页,59,1,1,0
3,html body text table tr td table tr td span font  ,｜,61,1,1,0
4,html body text table tr td table tr td span a  ,新华社记者看东北,63,1,1,0
5,html body text table tr td table tr td span font  ,｜,65,1,1,0
6,html body text table tr td table tr td span a  ,人物专访,67,0,1,0
7,html body text table tr td table tr td div div  ,农机专家李金泽：为农机行业搭建现代化信息平台,94,0,0,1
8,html body text table tr td table tr td  ,www.chinaneast.gov.cn,114,1,0,0
9,html body text table tr td table tr td div  ,2005年08月16日 来源：新华网,119,0,1,0
10,html body text table tr td table tr td div font font strong font  ,新华网黑龙江频道 记者 伊琳 李清芬,149,1,0,0
11,html body text table tr td table tr td div font p b font span  ,个人简介：,156,1,1,1
12,html body text table tr td table tr td div font span p font  ,李金泽同志现任黑龙江省勃农机械有限责任公司党委书记、董事长兼总经理。,165,1,1,1
13,html body text table tr td table tr td div font font span font  ,1956,170,1,1,1
14,html body text table tr td table tr td div font font span  ,年生人，,172,1,1,1
15,html body text table tr td table tr td div font font span font  ,1978,175,1,1,1
16,html body text table tr td table tr td div font font span  ,年参加工作，,177,1,1,1
17,html body text table tr td table tr td div font font span font  ,1976,180,1,1,1
18,html body text table tr td table tr td div font font span  ,年加入中国共产党，历任黑龙江省勃利县农机修造厂技术科长、技术厂长、总工程师、黑龙江省勃农机械有限责任公司党总支书记、总经理、总工程师等职务，,182,1,1,1
19,html body text table tr td table tr td div font font span font  ,2001,185,1,1,1
20,html body text table tr td table tr td div font font span  ,年起任现职。先后荣获,187,1,1,1
21,html body text table tr td table tr td div font font span font  ,9,190,1,1,1
22,html body text table tr td table tr td div font font span  ,项国家专利，开发设计,192,1,1,1
23,html body text table tr td table tr td div font font span font  ,23,195,1,1,1
24,html body text table tr td table tr td div font font span  ,项新产品，其中有,197,1,1,1
25,html body text table tr td table tr td div font font span font  ,4,200,1,1,1
26,html body text table tr td table tr td div font font span  ,项达到国家先进水平，有,202,1,1,1
27,html body text table tr td table tr td div font font span font  ,7,205,1,1,1
28,html body text table tr td table tr td div font font span  ,项获省级以上科技进步奖，多次获国家、省、市、县劳动模范及行业奖励，,207,1,1,1
29,html body text table tr td table tr td div font font span font  ,98,210,1,1,1
30,html body text table tr td table tr td div font font span  ,年获国务院政府特殊津贴，并获得全国五一劳动奖章、全国青年科技专家、全国农机标准化委员会委员、农机协会优秀工作者、省优秀青年企业家、青年科技新星、优秀质量管理者、省首届“五一”劳动奖章等光荣称号,212,1,1,1
31,html body text table tr td table tr td div font p strong font  ,记者：首先欢迎你来到新华网接受我们的采访，既然你是农机行业的专家，想必对农业也非常熟悉了，请问你怎样看待农业税补贴问题？,222,0,1,1
32,html body text table tr td table tr td div font p font span strong  ,李金泽：,239,1,0,1
33,html body text table tr td table tr td div font p font span  ,政府通过实行“一增一减”的农业政策来提高农民种粮的积极性，增加农民收入，增加农民补贴，减少农业税，通过政府的这些投入，让农民更加重视粮食生产。即使粮食生产受到价格冲击，实行的补贴政策也能让农民感觉种粮比较合适。同时中央财政发现在粮食产业上的投入，比其它行业投入的增产增收要高。,240,1,1,1
34,html body text table tr td table tr td div font span p font  ,比如说在交通行业的投入，政府投入一元钱，由此产生的回报是两元钱。根据我个人统计的数据，国家财政对粮食生产的投入回报率，能达到四倍以上，特别是一些农业依赖产品，投入回报率更大。国家通过这一年的财政补贴调查，结果显示增加农民收入，给农民增加一定的补贴投入，是一件利国利民的好事情。例如国家财政在粮食生产上投入,248,1,1,1
35,html body text table tr td table tr td div font font span font  ,100,253,1,1,1
36,html body text table tr td table tr td div font font span  ,万，投资回报可能是,255,1,1,1
37,html body text table tr td table tr td div font font span font  ,400,258,1,1,1
