Unnamed: 0,tag,content,counts,link_next,link_prev,label,domain
0,html body text  ,ASST1ST2ST3ST4ST5ST6ST7ST8ST9ST10ST11ST12ST13ST14ST15PB 7 -->,4,0,0,0,cleaneval
1,html body text title  ,多数夫妻生活有名无实 日本无性婚姻问题严重(图)--雅虎新闻,44,0,0,0,cleaneval
2,html body text center table tr td table tr td a  ,雅虎中国,85,1,0,0,cleaneval
3,html body text center table tr td table tr td  ,-,86,1,1,0,cleaneval
4,html body text center table tr td table tr td a  ,体育,88,1,1,0,cleaneval
5,html body text center table tr td table tr td  ,-,89,1,1,0,cleaneval
6,html body text center table tr td table tr td a  ,娱乐,91,1,1,0,cleaneval
7,html body text center table tr td table tr td  ,-,92,1,1,0,cleaneval
8,html body text center table tr td table tr td a  ,房产,94,1,1,0,cleaneval
9,html body text center table tr td table tr td  ,-,95,1,1,0,cleaneval
10,html body text center table tr td table tr td a  ,汽车,97,1,1,0,cleaneval
11,html body text center table tr td table tr td  ,-,98,1,1,0,cleaneval
12,html body text center table tr td table tr td a  ,电邮,100,0,1,0,cleaneval
13,html body text center table tr td b font  ,西门子无绳电话邀您,174,1,0,0,cleaneval
14,html body text center table tr td a font b  ,看新闻,180,1,1,0,cleaneval
15,html body text center table tr td a font b  ,读新闻,185,1,1,0,cleaneval
16,html body text center table tr td a font b  ,评新闻,190,1,1,0,cleaneval
17,html body text center table tr td a b font  ,真切 持久 更自由,196,0,1,0,cleaneval
18,html body text center table tr td table tr td a big  ,首页,219,1,0,0,cleaneval
19,html body text center table tr td table tr td a big  ,滚动,227,1,1,0,cleaneval
20,html body text center table tr td table tr td a big  ,国内,235,1,1,0,cleaneval
21,html body text center table tr td table tr td a big  ,国际,243,1,1,0,cleaneval
22,html body text center table tr td table tr td a big  ,财经,251,1,1,0,cleaneval
23,html body text center table tr td table tr td a big  ,社会,259,1,1,0,cleaneval
24,html body text center table tr td table tr td a big  ,声音,267,1,1,0,cleaneval
25,html body text center table tr td table tr td a big  ,专题,275,1,1,0,cleaneval
26,html body text center table tr td table tr td a big  ,两性,283,1,1,0,cleaneval
27,html body text center table tr td table tr td a big  ,幻灯,291,0,1,0,cleaneval
28,html body text center table tr td table tr td b  ,多数夫妻生活有名无实 日本无性婚姻问题严重(图),337,0,0,1,cleaneval
29,html body text center table tr td table tr td  ,2005-04-05 06:40更新 来源：转载文章,348,1,0,0,cleaneval
30,html body text center table tr td table tr td  ,第,351,1,1,0,cleaneval
31,html body text center table tr td table tr td b  ,1,353,1,1,0,cleaneval
32,html body text center table tr td table tr td  ,页/共,354,1,1,0,cleaneval
33,html body text center table tr td table tr td b  ,1,356,1,1,0,cleaneval
34,html body text center table tr td table tr td  ,页 <>,357,1,1,0,cleaneval
35,html body text center table tr td p  ,资料图：无性婚姻能走多远？,366,1,1,1,cleaneval
36,html body text center table tr td p  ,像许多日本女性一样，顺子一直等到30岁出头才结婚。在决定结婚后，顺子便把精力放在建立新家庭上。顺子夫妇现在已经结婚15年了，仍没有孩子，但他们并非没有生育能力。说起来令人惊讶：在15年的婚姻生活中，他们竟从来没有发生过性关系。实际上，顺子的遭遇在日本“无性婚姻”现象中很具代表性。,368,1,1,1,cleaneval
37,html body text center table tr td p  ,妻子变成替代母亲,370,1,1,1,cleaneval
38,html body text center table tr td p  ,据英国《卫报》4日报道，目前，每年平均有200名过着无性婚姻生活的日本女性到东京郊区的一家诊所寻求帮助。据这家诊所的所长金明岸介绍，她们中居然有人20年都没有和丈夫有过性生活。金所长在接受采访时说：“来找我看病的妇女都爱她们的丈夫，也都不想离婚。问题是她们的丈夫要么对性失去了兴趣，要么从结婚一开始就不想有性生活。很多男人把自己的妻子当成替代母亲，而不是把妻子看作有感情和性需要的女人。”,372,1,1,1,cleaneval
39,html body text center table tr td p  ,金医生的短期治疗方案颇具“反传统”特色。在病人花费2万日元寻求咨询后，他便会向病人出示45位男子的照片，这些男子大多是40岁左右的专业人士。如果得到女病人的首肯，这些男子就可以邀请她们约会，通常，他们的约会都会以在饭店订房间过夜结束。金医生否认他的服务中包含色情成分。“那些男性志愿者付一半的旅馆费和餐费，从法律上讲，这种做法没有任何过错。”他说，他用这种方法挽救了数百名绝望的妇女，但他同时承认，他的“性志愿者”对于治疗日本问题严重的婚姻制度毫无办法。,374,1,1,1,cleaneval
40,html body text center table tr td p  ,夫妻关系变成室友,376,1,1,1,cleaneval
41,html body text center table tr td p  ,“无性婚姻”是日本社会目前存在的一个比较严重的社会问题。一项对600名日本女性的调查发现，其中26%的人在过去一年里没有与丈夫发生过性关系。一位两年未和妻子发生性关系的31岁男子在接受《朝日新闻》采访时说：“与其说我们是夫妻，不如说我们是室友。”,378,1,1,1,cleaneval
42,html body text center table tr td p  ,对这种现象，金医生解释说：“日本男人普遍热爱自己的公司，他们活着就是为了工作。男人们从来不认为不与妻子发生性关系是个问题，因为他们的需要有性行业来满足，但他们的妻子却没有地方得到满足，只能在沉默中忍耐。”有统计显示，在过去10年里，日本的离婚率上升了两倍。在离婚的理由中，女方抱怨性生活“不活跃”的比例有所增加。,380,1,1,1,cleaneval
43,html body text center table tr td p  ,来源：新闻晨报,383,1,1,0,cleaneval
44,html body text center table tr td p  ,编辑：山石,385,1,1,0,cleaneval
45,html body text center table tr td table tr td b  ,相关报道：,394,1,1,0,cleaneval
46,html body text center table tr td table td  ,·,400,1,1,0,cleaneval
47,html body text center table tr td table td a  ,富夫妻望子成龙假离婚 三月后丈夫另娶妻子傻眼,402,1,1,0,cleaneval
48,html body text center table tr td table td span  ,（2005-04-03 17:19PM）,404,1,1,0,cleaneval
49,html body text center table tr td table td  ,·,407,1,1,0,cleaneval
50,html body text center table tr td table td a  ,沪银行关照直系亲属房贷记录 夫妻为同一借款人,409,1,1,0,cleaneval
51,html body text center table tr td table td span  ,（2005-04-01 16:19PM）,411,1,1,0,cleaneval
52,html body text center table tr td table td  ,·,414,1,1,0,cleaneval
53,html body text center table tr td table td a  ,夫妻勾结受贿近37万 原华中电管局长被判13年(图),416,1,1,0,cleaneval
54,html body text center table tr td table td span  ,（2005-04-01 15:57PM）,418,1,1,0,cleaneval
55,html body text center table tr td table td  ,·,421,1,1,0,cleaneval
56,html body text center table tr td table td a  ,长期忍而不射 下下之策,423,1,1,0,cleaneval
57,html body text center table tr td table td span  ,（2005-04-01 09:56AM）,425,1,1,0,cleaneval
58,html body text center table tr td table td  ,·,428,1,1,0,cleaneval
59,html body text center table tr td table td a  ,丈夫做爱后发现套子失踪 疑尺寸小掉入妻子宫,430,1,1,0,cleaneval
60,html body text center table tr td table td span  ,（2005-03-31 17:42PM）,432,1,1,0,cleaneval
61,html body text center table tr td table td  ,·,435,1,1,0,cleaneval
62,html body text center table tr td table td a  ,大学生结婚不能休婚假 学校没有条件提供夫妻同房,437,1,1,0,cleaneval
63,html body text center table tr td table td span  ,（2005-03-31 14:33PM）,439,0,1,0,cleaneval
64,html body text center table tr td table tr td a  ,发送给朋友,457,1,0,0,cleaneval
65,html body text center table tr td table tr td a  ,发表评论,467,1,1,0,cleaneval
66,html body text center table tr td table tr td a  ,打印本文,475,0,1,0,cleaneval
67,html body text center table tr td table tr td  ,第,486,1,0,0,cleaneval
68,html body text center table tr td table tr td b  ,1,488,1,1,0,cleaneval
69,html body text center table tr td table tr td  ,页/共,489,1,1,0,cleaneval
70,html body text center table tr td table tr td b  ,1,491,1,1,0,cleaneval
71,html body text center table tr td table tr td  ,页 <>,492,0,1,0,cleaneval
72,html body text center table tr td table tr td b  ,幻灯欣赏：,506,0,0,0,cleaneval
73,html body text center table tr td table tr td a  ,明星性感演出犒赏美军,535,1,0,0,cleaneval
74,html body text center table tr td table tr td a  ,婚纱泳衣让人耳目一新,539,1,1,0,cleaneval
75,html body text center table tr td table tr td a  ,令人捧腹的“盗版”千手观音,543,1,1,0,cleaneval
76,html body text center table tr td table tr td a  ,现代和尚与时俱进,547,0,1,0,cleaneval
77,html body text center table tr td table tr td table tr td big a b  ,花花世界,572,0,0,0,cleaneval
78,html body text center table tr td table tr td table tr td table tr td a  ,胡萝卜长出五根“脚趾”,593,0,0,0,cleaneval
79,html body text center table tr td table tr td table tr td table tr td a  ,地下长城仅供“外宾”参观,606,0,0,0,cleaneval
80,html body text center table tr td table tr td table tr td table tr td a big  ,[头条],624,1,0,0,cleaneval
81,html body text center table tr td table tr td table tr td table tr td big a font b  ,内蒙一弱智少女惨遭强奸 公安局歪曲事实称通奸,630,1,1,0,cleaneval
82,html body text center table tr td table tr td table tr td table tr td  ,杨月仙怎么也想不明白，17岁的女儿智商只有42，被邻居陈雨和强奸，经有关部门鉴定，认定女儿有性防卫能力，就是所谓的...... [,636,1,1,0,cleaneval
83,html body text center table tr td table tr td table tr td table tr td a  ,全文,638,1,1,0,cleaneval
84,html body text center table tr td table tr td table tr td table tr td  ,],639,1,1,0,cleaneval
85,html body text center table tr td table tr td table tr td table tr td a big  ,[关注],647,1,1,0,cleaneval
86,html body text center table tr td table tr td table tr td table tr td big a  ,性问题成了民工之痛 半数以上的人半年没有性生活,651,1,1,0,cleaneval
87,html body text center table tr td table tr td table tr td table tr td a big  ,[花边],659,1,1,0,cleaneval
88,html body text center table tr td table tr td table tr td table tr td big a  ,蒋介石照片曾被大量复印 用于代言男性保健品(图),663,1,1,0,cleaneval
89,html body text center table tr td table tr td table tr td table tr td a big  ,[情感],671,1,1,0,cleaneval
90,html body text center table tr td table tr td table tr td table tr td big a  ,多数夫妻生活有名无实 日本无性婚姻问题严重(图),675,1,1,0,cleaneval
91,html body text center table tr td table tr td table tr td table tr td a big  ,[法制],683,1,1,0,cleaneval
92,html body text center table tr td table tr td table tr td table tr td big a  ,恶男脱光女子衣服咬掉其乳头 经鉴定后被批捕(图),687,0,1,0,cleaneval
93,html body text center table tr td table tr td table tr td table tr td a big  ,[警察],703,1,0,0,cleaneval
94,html body text center table tr td table tr td table tr td table tr td big a  ,警花街头传授防“狼”术 众女子观摩一试身手(图),707,1,1,0,cleaneval
95,html body text center table tr td table tr td table tr td table tr td a big  ,[网聊],715,1,1,0,cleaneval
96,html body text center table tr td table tr td table tr td table tr td big a  ,“含羞草”毫不含羞 网吧下载“黄片”包宿看(图),719,1,1,0,cleaneval
97,html body text center table tr td table tr td table tr td table tr td a big  ,[两性],727,1,1,0,cleaneval
98,html body text center table tr td table tr td table tr td table tr td big a  ,女子为购公房“假结婚” 不料离婚时遭到男方拒绝,731,1,1,0,cleaneval
99,html body text center table tr td table tr td table tr td table tr td a big  ,[百态],739,1,1,0,cleaneval
100,html body text center table tr td table tr td table tr td table tr td big a  ,江苏教师以身挡车救学生续：老师今晨去世(附图),743,1,1,0,cleaneval
101,html body text center table tr td table tr td table tr td table tr td a big  ,[趣闻],751,1,1,0,cleaneval
102,html body text center table tr td table tr td table tr td table tr td big a  ,母猪上山与野猪“偷情” 生下猪崽价格涨3倍(图),755,1,1,0,cleaneval
103,html body text center table tr td table tr td table tr td table tr td a big  ,[法制],763,1,1,0,cleaneval
104,html body text center table tr td table tr td table tr td table tr td big a  ,重庆用积分模式打击小偷 多次作案实行累加式定罪,767,1,1,0,cleaneval
105,html body text center table tr td table tr td table tr td table tr td a big  ,[百态],775,1,1,0,cleaneval
106,html body text center table tr td table tr td table tr td table tr td big a  ,北京防空洞景点可直达故宫 仅供“外宾”参观(图),779,1,1,0,cleaneval
107,html body text center table tr td table tr td table tr td table tr td a big  ,[百态],787,1,1,0,cleaneval
108,html body text center table tr td table tr td table tr td table tr td big a  ,一个针头给多个孩子注射 其中有8人携带乙肝病毒,791,1,1,0,cleaneval
109,html body text center table tr td table tr td table tr td table tr td a big  ,[暴力],799,1,1,0,cleaneval
110,html body text center table tr td table tr td table tr td table tr td big a  ,蒙面人入室强奸猥亵6名女中学生 恶魔自称等着被抓,803,1,1,0,cleaneval
111,html body text center table tr td table tr td table tr td table tr td a big  ,[百态],811,1,1,0,cleaneval
112,html body text center table tr td table tr td table tr td table tr td big a  ,长沙市民抢注“神五”商标 所有人欲千万转让(图),815,1,1,0,cleaneval
113,html body text center table tr td table tr td table tr td table tr td a big  ,[情感],823,1,1,0,cleaneval
114,html body text center table tr td table tr td table tr td table tr td big a  ,男子玲珑塔下跪地求婚 999朵玫瑰未助其成功(图),827,1,1,0,cleaneval
115,html body text center table tr td table tr td table tr td table tr td a big  ,[网聊],835,1,1,0,cleaneval
116,html body text center table tr td table tr td table tr td table tr td big a  ,网上聊天话不投机互相对骂 网下砍刀棍棒血战街头,839,0,1,0,cleaneval
117,html body text center table tr td table tr td table tr td table form tr td  ,新闻：,855,0,0,0,cleaneval
118,html body text center table tr td table tr td table tr td table tr td  ,热词回顾：,873,1,0,0,cleaneval
119,html body text center table tr td table tr td table tr td table tr td a  ,换妻,875,1,1,0,cleaneval
120,html body text center table tr td table tr td table tr td table tr td a  ,偷拍,878,1,1,0,cleaneval
121,html body text center table tr td table tr td table tr td table tr td a  ,性变态,881,1,1,0,cleaneval
122,html body text center table tr td table tr td table tr td table tr td a  ,三陪女,884,1,1,0,cleaneval
123,html body text center table tr td table tr td table tr td table tr td a  ,暴力,887,1,1,0,cleaneval
124,html body text center table tr td table tr td table tr td table tr td a  ,裸奔,890,1,1,0,cleaneval
125,html body text center table tr td table tr td table tr td table tr td a  ,女大学生,893,1,1,0,cleaneval
126,html body text center table tr td table tr td table tr td table tr td a  ,陪聊,896,1,1,0,cleaneval
127,html body text center table tr td table tr td table tr td table tr td a  ,富翁,899,1,1,0,cleaneval
128,html body text center table tr td table tr td table tr td table tr td a  ,警察,902,1,1,0,cleaneval
129,html body text center table tr td table tr td table tr td table tr td a  ,思潮,905,1,1,0,cleaneval
130,html body text center table tr td table tr td table tr td table tr td a  ,趣闻,908,0,1,0,cleaneval
131,html body text center table tr td table tr td b  ,本周雅虎推荐:,929,1,0,0,cleaneval
132,html body text center table tr td table tr td a  ,环球奇闻，娱乐绯闻，轻松点击获取前沿资讯！,933,1,1,0,cleaneval
133,html body text center table tr td table tr td  ,·,939,1,1,0,cleaneval
134,html body text center table tr td table tr td a  ,[幻灯]“窃看”美女别样景 人体摄影背后是什么？,941,1,1,0,cleaneval
135,html body text center table tr td table tr td span  ,(新闻),943,1,1,0,cleaneval
136,html body text center table tr td table tr td  ,·,945,1,1,0,cleaneval
137,html body text center table tr td table tr td a  ,[幻灯]爆笑：周星驰看球实录 小贝糗态曝光,947,1,1,0,cleaneval
138,html body text center table tr td table tr td span  ,(体育),949,1,1,0,cleaneval
139,html body text center table tr td table tr td  ,·,951,1,1,0,cleaneval
140,html body text center table tr td table tr td a  ,[幻灯]美艳超模谁让人想入非非、走光是时尚还是放浪,953,1,1,0,cleaneval
141,html body text center table tr td table tr td span  ,(娱乐),955,1,1,0,cleaneval
142,html body text center table tr td table tr td  ,·,957,1,1,0,cleaneval
143,html body text center table tr td table tr td a  ,[幻灯]美女如何与车亲密接触，赛纳、中华狂降4万元,959,1,1,0,cleaneval
144,html body text center table tr td table tr td span  ,(汽车),961,1,1,0,cleaneval
145,html body text center table tr td table tr td  ,·,963,1,1,0,cleaneval
146,html body text center table tr td table tr td a  ,歌坛“大哥大”刘欢的家：充满了个性色彩(组图),965,1,1,0,cleaneval
