tag,content,label,depth,domain
html body header div div div a  ,旅讀,0,7,newdata
html body nav div div div a  ,旅讀,0,7,newdata
html body nav div div div ul li a span  ,活動,0,10,newdata
html body nav div div div ul li a span  ,文章,0,10,newdata
html body nav div div div ul li a span  ,路線,0,10,newdata
html body nav div div div ul li a span  ,專家,0,10,newdata
html body nav div div div ul li a span  ,商店,0,10,newdata
html body nav div div div ul li a span  ,登入/註冊,0,10,newdata
html body nav div div div ul li a  ,購物車,0,9,newdata
html body nav div div div ul li form div div  ,活動,0,11,newdata
html body nav div div div ul li form div ul li span  ,全部,0,13,newdata
html body nav div div div ul li form div ul li span  ,活動,0,13,newdata
html body nav div div div ul li form div ul li span  ,文章,0,13,newdata
html body nav div div div ul li form div ul li span  ,商品,0,13,newdata
html body nav div div div ul li a  ,簡,0,9,newdata
html body nav div div a  ,創意遊中華,0,6,newdata
html body main div div div div div div div div  ,最新出刊,0,11,newdata
html body main div div div div div div div div a  ,世界朝聖之路10+,0,12,newdata
html body main div div div div div div div div div  ,2021 年 12 月號 第 118 期,0,12,newdata
html body main div div div div div div ul li a  ,【跟我走】隱於日月山水間：坐看雲起時,0,12,newdata
html body main div div div div div div ul li a  ,【特別報導】黑龍江尋虎蹤：猛虎躍新春,0,12,newdata
html body main div div div div div div ul li a  ,【老皮說史】中西醫看婦女病：化淤還是切除？,0,12,newdata
html body main div div div div div div ul li a  ,【精彩封面故事】山海圳綠道│臺灣Mountains to Sea National Greenway,0,12,newdata
html body main div div div div div div ul li a  ,【精彩封面故事】茶馬古道│中國大陸Tea Horse Road,0,12,newdata
html body main div div div div div div ul li a  ,【精彩封面故事】淡蘭古道│臺灣Tamsui-Kavalan Trails,0,12,newdata
html body main div div div div div div ul li a  ,【精彩封面故事】印加古道│秘魯Inca Trail,0,12,newdata
html body main div div div div div div ul li a  ,【金魚滿唐】千變萬化杜蘭朵：三道謎題的試煉,0,12,newdata
html body main div div div div div div ul li a  ,【發現心台灣】登陸基隆嶼，看見臺灣之美,0,12,newdata
html body main div div div div div div ul li a  ,【精彩封面故事】聖稜線│臺灣The Holy Ridge,0,12,newdata
html body main div div div div div div ul li a  ,【精彩封面故事】岡仁波齊轉山路│中國大陸Mount Kailash Trek,0,12,newdata
