tag,content,label,depth
html body title  ,喔 噴濺 之河岸私廚 | 河岸留言,0,3
html body div div div div header div div div div div div div div div div div h2 span span a span  ,最新消息,0,23
html body div div div div header div div div div div wix-dropdown-menu nav ul li a div div p  ,河岸留言 HOME,0,20
html body div div div div header div div div div div wix-dropdown-menu nav ul li a div div p  ,演出節目 EVENTS,0,20
html body div div div div header div div div div div wix-dropdown-menu nav ul li ul li a  ,節目月曆一覽 Program,0,19
html body div div div div header div div div div div wix-dropdown-menu nav ul li ul li a  ,音樂藝文咖啡 Riverside Music Cafe,0,19
html body div div div div header div div div div div wix-dropdown-menu nav ul li ul li a  ,西門紅樓展演館 Riverside Live House,0,19
html body div div div div header div div div div div wix-dropdown-menu nav ul li a div div p  ,河岸聲現 LIVE SESSION,0,20
html body div div div div header div div div div div wix-dropdown-menu nav ul li a div div p  ,場館介紹 VENUES,0,20
html body div div div div header div div div div div wix-dropdown-menu nav ul li ul li a  ,音樂藝文咖啡 RMC 介紹,0,19
html body div div div div header div div div div div wix-dropdown-menu nav ul li ul li a  ,西門紅樓展演館 RLH 介紹,0,19
html body div div div div header div div div div div wix-dropdown-menu nav ul li ul li a  ,精采時刻 PICS,0,19
html body div div div div header div div div div div wix-dropdown-menu nav ul li ul li a  ,河岸記事本 RIVERSIDE NOTES,0,19
html body div div div div header div div div div div wix-dropdown-menu nav ul li a div div p  ,聯絡河岸 CONTACT,0,20
html body div div div div header div div div div div wix-dropdown-menu nav ul li ul li a  ,論壇,0,19
html body div div div div header div div div div div wix-dropdown-menu nav ul li div div div p  ,More,0,20
html body div div div div header div div div div div wix-dropdown-menu nav div  ,Use tab to navigate through the menu items.,0,15
html body div div div div main div div div div div div div div div div div section div div div div span  ,1月10日 週一,0,24
html body div div div div main div div div div div div div div div div div section div div div div span  ,|,0,24
html body div div div div main div div div div div div div div div div div section div div div div span  ,100台湾台北市中正區羅斯福路三段244巷2號,0,24
html body div div div div main div div div div div div div div div div div section div div div h1  ,喔 噴濺 之河岸私廚,1,23
html body div div div div main div div div div div div div div div div div section div div div div div  ,票價｜新台幣200元 含飲料,1,24
html body div div div div main div div div div div div div div div div div section div div h2  ,演出時間地點 Time & Location,1,22
html body div div div div main div div div div div div div div div div div section div div div div div  ,2022年1月10日 下午9:00,1,24
html body div div div div main div div div div div div div div div div div section div div div div div  ,100台湾台北市中正區羅斯福路三段244巷2號,1,24
html body div div div div main div div div div div div div div div div div section div div div h2  ,About The Event,1,23
html body div div div div main div div div div div div div div div div div section div div div div div div p  ,喔 噴濺 之河岸私廚,1,26
html body div div div div main div div div div div div div div div div div section div div div div div div p  ,河岸音造校長兼撞鐘 — Geddy Lin，將帶著30年的功力，來到河岸留言 Cook the Groove。 道道都是河岸家常菜，首首都將成為你的愛。 若是想精進你的手藝，也歡迎帶著你的廚具來，與主廚一同料理！,1,26
html body div div div div main div div div div div div div div div div div section div div div div div div p  ,Gt:Geddy Lin Bass: 林后進（photo by @myfoolisheyes） Drums:Brandy Wu,1,26
html body div div div div main div div div div div div div div div div div section div div div div div div p  ,Speciality： Someday My Prince Will Come Maiden Voyage Put It Where You Want It How Insensitive,1,26
html body div div div div main div div div div div div div div div div div section div div div div div div p  ,日期：2022/01/10 (一) 地點：公館河岸留言 時間：進場21:00｜開演21:30 票價：200 元（可憑票卷兌換指定飲料）,0,26
html body div div div div main div div div div div div div div div div div section div div div div div div p  ,＊防疫措施＊ 1.入場請配合實名制造冊、酒精消毒、體溫測量(額溫≧37.5°C不得入場) 2.本場館禁止攜帶外食，場內飲用飲品請務必留在座位上 3.請務必全程配戴口罩，飲用飲品時可暫時性拉下口罩 4.防疫期間本場館限制容留人數,0,26
html body div div div div main div div div div div div div div div div div section div div div div div div div  ,活動報名,0,26
html body div div div div main div div div div div div div div div div div section div div div div div div div  ,價格,0,26
html body div div div div main div div div div div div div div div div div section div div div div div div div  ,數量,0,26
html body div div div div main div div div div div div div div div div div section div div div div div div div  ,總計,0,26
html body div div div div main div div div div div div div div div div div section div div div ul li div div div div div  ,入場費,0,29
html body div div div div main div div div div div div div div div div div section div div div ul li div div div div div div  ,NT$350 ,0,30
html body div div div div main div div div div div div div div div div div section div div div ul li div div div div div div  ,NT$350 ,0,30
html body div div div div main div div div div div div div div div div div section div div div ul li div div div div div div div div div div  ,0,0,34
html body div div div div main div div div div div div div div div div div section div div div ul li div div div div div  ,NT$0 ,0,29
html body div div div div main div div div div div div div div div div div section div div div div div div div div div span  ,總計,0,29
html body div div div div main div div div div div div div div div div div section div div div div div div div div div span  ,NT$0 ,0,29
html body div div div div main div div div div div div div div div div div section div div div h2  ,社群分享 Share This Event,0,23
html body div div div div footer div div div div div section div div div div div p span span span span span  ,​音樂藝文咖啡,0,24
html body div div div div footer div div div div div section div div div div div p span span span  ,臺北市中正區羅斯福路三段 244 巷 2 號 B1,0,22
html body div div div div footer div div div div div section div div div div div p span span span  ,（台電大樓旁）,0,22
html body div div div div footer div div div div div section div div div div div p span span span  ,"B2, Lane 244, Sec. 3, Roosevelt Rd., Taipei (Next to Tai-Power Building)",0,22
html body div div div div footer div div div div div section div div div div div p span span span span  ,​,0,23
html body div div div div footer div div div div div section div div div div div p span span span  ,TEL-(02)2368-7310,0,22
html body div div div div footer div div div div div section div div div div div p span span span  ,（營業時間 請洽節目活動,0,22
html body div div div div footer div div div div div section div div div div div p span span span  ,）,0,22
html body div div div div footer div div div div div section div div div div div div div div p span span span span span  ,西門紅樓展演館,0,27
html body div div div div footer div div div div div section div div div div div div div div p span span  ,臺北市萬華區西寧南路 177 號,0,24
html body div div div div footer div div div div div section div div div div div div div div p span span  ,"No. 177, Xining S. Rd., Wanhua District, Taipei",0,24
html body div div div div footer div div div div div section div div div div div div div div p span span span  ,​,0,25
html body div div div div footer div div div div div section div div div div div div div div p span span  ,TEL-(02)2370-8805,0,24
html body div div div div footer div div div div div section div div div div div div div div p span span span span span span  ,（營業時間 請洽節目活動）,0,28
html body div div div div footer div div div div div section div div div div div div div div p span span  ,​音樂深造學苑,0,24
html body div div div div footer div div div div div section div div div div div div div div p span span span  ,臺北市文山區羅斯福路五段 88 之 5 號 B1,0,25
html body div div div div footer div div div div div section div div div div div div div div p span span span  ,"B1, No. 88-5, Sec. 5, Roosevelt Rd.,",0,25
html body div div div div footer div div div div div section div div div div div div div div p span span span  ,"WenShan District, Taipei",0,25
html body div div div div footer div div div div div section div div div div div div div div p span span span span  ,​,0,26
html body div div div div footer div div div div div section div div div div div div div div p span span span  ,TEL-(02)2932-6252,0,25
html body div div div div footer div div div div div section div div div div div div div div p span span span  ,（營業時間 12:30 - 22:00）,0,25
html body div div div div footer div div div div div section div div div div div p span span  ,​音樂製造錄音室,0,21
html body div div div div footer div div div div div section div div div div div p span span span  ,臺北市文山區羅斯福路五段 88 之 5 號 B1,0,22
html body div div div div footer div div div div div section div div div div div p span span span  ,"B1, No. 88-5, Sec. 5, Roosevelt Rd.,",0,22
html body div div div div footer div div div div div section div div div div div p span span span  ,"WenShan District, Taipei",0,22
html body div div div div footer div div div div div section div div div div div p span span span span  ,​,0,23
