tag,content,label,depth
html body text title span span  ,"CLT Update: 26 Feb 99 - Economists Say ""Temper State Spending""",0,6
html body text div center table tbody tr td p strong font span  ,CITIZENS,1,13
html body text div center table tbody tr td p strong font span  ,for,1,13
html body text div center table tbody tr td p strong font span  ,Limited Taxation,1,13
html body text div center table tbody tr td p strong font span  ,"Post Office Box 408 Peabody, Massachusetts 01960 (508) 384-0100",0,13
html body text div center table tbody tr td p strong font span  ,E-Mail:,0,13
html body text div center table tbody tr td p strong font a span  ,cltg@cltg.org,0,14
html body text div center table tbody tr td p strong font span  ,Web-page:,0,13
html body text div center table tbody tr td p strong font a span  ,http://cltg.org,0,14
html body text div center table tbody tr td p font font big big span  ,CLT Update,1,15
html body text div center table tbody tr td p font font strong big span  ,"Friday, February 26, 1999",0,15
html body text div center table tbody tr td p big em span  ,Look quick!,1,13
html body text div center table tbody tr td p big span  ,"-- they're squandering away our tax cut hand over fist then warning that the sky's about to fall, there's not enough left to keep the promise and return the income tax rate to 5 percent,"" they're now trying to tell us. ""Sorry folks, it's all gone and the good times are coming to an end anyway.""",1,12
html body text div center table tbody tr td p big span  ,"Isn't it strange how it's never a good time for a tax cut. When times are good they ""invest"" the overpayment while it's available; when times are bad they need the overpayment for ""safety nets"" and ""unmet needs."" Then they come back for more.",1,12
html body text div center table tbody tr td p big span  ,But note the,1,12
html body text div center table tbody tr td p big a span  ,big error,1,13
html body text div center table tbody tr td p big span  ,"by the reporter when she states: ""If Cellucci's pitch to reduce the income tax rate in stages from 5.95 percent to 5 percent is successful, it could take $1.2 billion out of the coffers in just the first year...""",1,12
html body text div center table tbody tr td p big span  ,"This is an inaccurate statement. Gov. Cellucci's plan would phase in his tax rate reduction over three years; when fully implemented, in the third year, it would reduce revenue by about $1.2 billion.",1,12
html body text div center table tbody tr td p big span  ,"Regardless, when the pols took the money from us with their ""temporary"" rate increase, did anyone ask if you could afford it, or whether you'd rather if they phased it in gradually over a number of years?",1,12
html body text div center table tbody tr td p big span  ,"And what's this ""take $1.2 billion out of the coffers""?",1,12
html body text div center table tbody tr td p big em span  ,It shouldn't still be going into the coffers!,1,13
