tag,content,label,depth
html body div header div div a span  ,finder UK,0,8
html body div header div div div span div span  ,UK,0,10
html body div header div div div div a div span  ,Aus,0,11
html body div header div div div div a div span  ,US,0,11
html body div header div div div div a div span  ,NZ,0,11
html body div header div div form div label span  ,Search,0,10
html body div header div nav div ul li a span  ,Money,0,11
html body div header div nav div ul li a span  ,Insurance,0,11
html body div header div nav div ul li a span  ,Energy,0,11
html body div header div nav div ul li a span  ,Tech & Telco,0,11
html body div header div nav div ul li a span  ,Shopping & Deals,0,11
html body div header div nav div ul li a span  ,Travel,0,11
html body div header div nav div ul li a span  ,About us,0,11
html body div header div nav div ul li a span  ,Broadband,0,11
html body div header div nav div ul li div div nav ul li a span  ,Broadband Speed Test,0,16
html body div header div nav div ul li div div nav ul li a span  ,Ultimate Guide to Broadband Speeds,0,16
html body div header div nav div ul li div div nav ul li a span  ,Business Broadband,0,16
html body div header div nav div ul li div div nav ul li a span  ,Router Comparison,0,16
html body div header div nav div ul li div div nav ul li a span  ,Broadband Providers,0,16
html body div header div nav div ul li div div nav ul li a span  ,Mobile Broadband,0,16
html body div header div nav div ul li div div div h5 span  ,Find the right broadband deal for you,0,14
html body div header div nav div ul li div div div a span  ,Compare now,0,14
html body div header div nav div ul li a span  ,Mobile Plans,0,11
html body div header div nav div ul li a span  ,TV Streaming,0,11
html body div header div div div span div span  ,UK,0,10
html body div header div div div div a div span  ,Aus,0,11
html body div header div div div div a div span  ,US,0,11
html body div header div div div div a div span  ,NZ,0,11
html body div div div div div h3 span  ,Guides,0,9
html body div div div div div div ul li a span  ,TV Streaming,0,12
html body div div div div div h3 span  ,Services,0,9
html body div div div div div div ul li a span  ,Amazon Prime,0,12
html body div div div div div div ul li a span  ,Blinkbox,0,12
html body div div div div div div ul li a span  ,CinemaNow,0,12
html body div div div div div div ul li a span  ,Google Play,0,12
html body div div div div div div ul li a span  ,iTunes,0,12
html body div div div div div div ul li a span  ,MUBI,0,12
html body div div div div div div ul li a span  ,NOW TV,0,12
html body div div div div div div ul li a span  ,Sky Go,0,12
html body div div div div div div ul li a span  ,Rakuten TV,0,12
html body div div div div div div ul li a span  ,Xbox Video,0,12
html body div div div div div h3 span  ,Netflix,0,9
html body div div div div div div ul li a span  ,List of All TV Shows,0,12
html body div div div div div div ul li span a span  ,List of All Movies,0,13
html body div div div div div div ul li ul li a span  ,Action and Adventure,0,14
html body div div div div div div ul li ul li a span  ,British,0,14
html body div div div div div div ul li ul li a span  ,Children and Family,0,14
html body div div div div div div ul li ul li a span  ,Comedy,0,14
html body div div div div div div ul li ul li a span  ,Movies,0,14
html body div div div div div div ul li ul li a span  ,Cult,0,14
html body div div div div div div ul li ul li a span  ,Documentaries,0,14
html body div div div div div div ul li ul li a span  ,LGBT,0,14
html body div div div div div div ul li ul li a span  ,Horror,0,14
html body div div div div div div ul li ul li a span  ,Indie,0,14
html body div div div div div div ul li ul li a span  ,International,0,14
html body div div div div div div ul li ul li a span  ,Romantic,0,14
html body div div div div div div ul li ul li a span  ,Sci-Fi and Fantasy,0,14
html body div div div div div div ul li ul li a span  ,Sports,0,14
html body div div div div div div ul li ul li a span  ,Thrillers,0,14
html body div div div div div div ul li a span  ,Search Genre Lists,0,12
html body div div div div div div ul li a span  ,UK vs World Content Libraries,0,12
html body div div div div div div ul li a span  ,Global Streaming Speeds,0,12
html body div div div div div h3 span  ,Amazon Prime,0,9
html body div div div div div div ul li a span  ,List of All TV Shows,0,12
html body div div div div div div ul li a span  ,List of All Movies,0,12
html body div div div div div h3 span  ,Now TV,0,9
html body div div div div div div ul li a span  ,List of All TV Shows,0,12
html body div div div div div div ul li a span  ,List of All Movies,0,12
html body div div div div div h3 span  ,Where To Stream,0,9
html body div div div div div div ul li a span  ,Game of Thrones,0,12
html body div div div div div div ul li a span  ,Geordie Shore,0,12
html body div div div div div div ul li a span  ,Grey’s Anatomy,0,12
html body div div div div div div ul li a span  ,The Walking Dead,0,12
html body div div div div div div ul li a span  ,Tin Star,0,12
html body div div div div div div ul li a span  ,Twin Peaks,0,12
html body div div div div div div ul li a span  ,Westworld,0,12
html body div div div div div div span span a span  ,finder.com,0,12
html body div div div div div div span  ,>,0,9
html body div div div div div div span span a span  ,Internet TV,0,12
html body div div div div div a span  ,Advertiser Disclosure,0,9
html body div div div div div h1 span  ,How to watch Mayweather vs McGregor online,1,9
