tag,content,label,depth
html body div h1  ,「リレーの聖火消すべき」「偽善や害悪、際立たせた」米ＮＢＣが大学教授の寄稿掲載 - 産経ニュース,0,4
html body div ul li a  ,このページのメインコンテンツへジャンプ,0,6
html body div ul li a  ,速報ニュース一覧へジャンプ,0,6
html body div ul li a  ,メニュー一覧へジャンプ,0,6
html body div header div a  ,THE SANKEI NEWS,0,6
html body div header div div div nav h2  ,メインカテゴリナビゲーション,0,9
html body div header div div div nav ul li a  ,トップ,0,11
html body div header div div div nav ul li a  ,速報,0,11
html body div header div div div nav ul li a  ,社会,0,11
html body div header div div div nav ul li a  ,政治,0,11
html body div header div div div nav ul li a  ,国際,0,11
html body div header div div div nav ul li a  ,経済,0,11
html body div header div div div nav ul li a  ,スポーツ,0,11
html body div header div div div nav ul li a  ,エンタメ,0,11
html body div header div div div nav ul li a  ,ライフ,0,11
html body div header div div div nav ul li a  ,もっと,0,11
html body div header div div div nav ul li a span  ,ナビゲーションを読む,0,12
html body div div div ul li a  ,ニュース,0,8
html body div div div ul li a  ,特集,0,8
html body div div div ul li a  ,競技紹介,0,8
html body div div div ul li a  ,会場MAP,0,8
html body div main section h2  ,PR,0,6
html body div main div div span  ,東京五輪,0,7
html body div main div div a  ,東京五輪,0,7
html body div main div div aside h2  ,PR,0,8
html body div main div div article div h2 span  ,「リレーの聖火消すべき」「偽善や害悪、際立たせた」米ＮＢＣが大学教授の寄稿掲載,1,10
html body div main div div article div div div time span  ,2021.3.26 13:29,1,12
html body div main div div article div div div a  ,東京五輪,0,11
html body div main div div article div div div aside h2  ,PR,0,12
html body div main div div article div div p  ,米国で東京五輪の放送権を持つＮＢＣは２５日、「リレーの聖火を消すべきだ」と題する寄稿を電子版に掲載した。「新型コロナウイルスのパンデミック（世界的大流行）のさなか、聖火リレーは五輪の虚飾のため公衆衛生を犠牲にする危険を冒している」とした。,1,10
html body div main div div article div div p  ,寄稿したのは、米五輪代表にも選ばれたことがある元プロサッカー選手で米パシフィック大のジュールズ・ボイコフ教授（政治学）。聖火リレーの出発地に福島を選んだことは「この儀式の偽善や害悪、ばかばかしさを際立たせただけでなく、五輪に向けて突き進む日本の問題の縮図でもある」と主張。「もとは『復興五輪』をうたっていたが、現地の多くの人は復興の遅れを理由に五輪を非難している。（復興の）財源は五輪の準備のため東京に振り向けられた」と指摘した。さらに「五輪はパンデミックを悪化させかねない。開幕時にも日本国民はワクチン接種を終えていないだろう。海外から来る何千人もの選手やコーチ、記者らは誰もワクチン接種が義務付けられていない」と述べ「８０％もの国民が中止か再延期を支持している」現状を解説した。（共同）,1,10
html body div main div div article div div aside h2  ,PR,0,11
html body div main div div section h2  ,あなたへのおすすめ,0,8
html body div main div div section h2  ,PR,0,8
html body div main div div div div section h2  ,PR,0,10
html body div main div div div div section h2  ,PR,0,10
html body div main div div div div section h2  ,PR,0,10
html body div main div div div div h3  ,東京五輪2020まであと,0,9
html body div main div div aside h2  ,PR,0,8
html body div main div div section header h2  ,ランキング,0,9
html body div main div div aside h2  ,PR,0,8
html body div main div div section header h2  ,ブランドコンテンツ,0,9
html body div main div div aside h2  ,PR,0,8
html body div div ul li a  ,ニュース,0,7
html body div div ul li a  ,特集,0,7
html body div div ul li a  ,競技紹介,0,7
html body div div ul li a  ,会場MAP,0,7
html body div footer div a  ,産経新聞社,0,6
html body div footer div a  ,利用規約,0,6
html body div footer div a  ,プライバシーポリシー,0,6
html body div footer div a  ,知的財産権ポリシー,0,6
html body div footer div a  ,広告掲載,0,6
html body div footer div a  ,有償コンテンツ利用規約,0,6
html body div footer div a  ,特定商取引法に基づく表示,0,6
html body div footer div a  ,お問い合わせ,0,6
html body div footer div a  ,プッシュ通知について,0,6
html body div footer small  ,©2021 The Sankei Shimbun All rights reserved.,0,5
