tag,content,label,depth
html body p  ,-->,0,3
html body div header div div div div ul li a span  ,เข้าสู่ระบบ,0,12
html body div header div div nav ul li a  ,HOME,0,10
html body div header div div nav ul li a  ,NEWS,0,10
html body div header div div nav ul li div div div div div ul li a  ,DARA,0,17
html body div header div div nav ul li div div div div div ul li a  ,TV,0,17
html body div header div div nav ul li div div div div div ul li a  ,MUSIC,0,17
html body div header div div nav ul li div div div div div ul li a  ,MOVIES,0,17
html body div header div div nav ul li div div div div div ul li a  ,SCOOP,0,17
html body div header div div nav ul li div div div div div ul li a  ,INTER,0,17
html body div header div div nav ul li div div div div div ul li a  ,VDO CLIPS,0,17
html body div header div div nav ul li a  ,VDO,0,10
html body div header div div nav ul li a  ,GALLERY,0,10
html body div header div div nav ul li a  ,เรื่องย่อละคร,0,10
html body div header div div nav ul li a  ,ดูดวง,0,10
html body div header div div nav ul li a  ,OTHER,0,10
html body div header div div nav ul li div div div div div ul li a  ,MOVIE TRAILER,0,17
html body div header div div nav ul li div div div div div ul li a  ,ร่วมงานกับเรา,0,17
html body div header div div nav ul li div div div div div ul li a  ,ABOUT US,0,17
html body div header div div nav ul li div div div div div ul li a  ,CONTACT US,0,17
html body div header div div nav ul li div div div div div ul li a  ,FACEBOOK,0,17
html body div header div div nav ul li div div div div div ul li a  ,INSTAGRAM,0,17
html body div header div div nav ul li div div div div div ul li a  ,TWITTER,0,17
html body div header div div nav ul li div div div div div ul li a  ,YOUTUBE,0,17
html body div header div div nav ul li div div div div div ul li a  ,LINE OFFICIAL,0,17
html body div div div div span  ,					Close				,0,7
html body div div div ul li a  ,HOME,0,8
html body div div div ul li a  ,NEWS,0,8
html body div div div ul li ul li a  ,DARA,0,10
html body div div div ul li ul li a span  ,TV,0,11
html body div div div ul li ul li a  ,MUSIC,0,10
html body div div div ul li ul li a  ,MOVIES,0,10
html body div div div ul li ul li a  ,SCOOP,0,10
html body div div div ul li ul li a  ,INTER,0,10
html body div div div ul li ul li a  ,VDO CLIPS,0,10
html body div div div ul li a  ,VDO,0,8
html body div div div ul li a  ,GALLERY,0,8
html body div div div ul li a  ,เรื่องย่อละคร,0,8
html body div div div ul li a  ,ดูดวง,0,8
html body div div div ul li a  ,OTHER,0,8
html body div div div ul li ul li a  ,TV ONLINE,0,10
html body div div div ul li ul li a  ,MOVIE TRAILER,0,10
html body div div div ul li ul li a  ,SHOP DD,0,10
html body div div div ul li ul li a  ,PRODUCTS,0,10
html body div div div ul li ul li a  ,ABOUT US,0,10
html body div div div ul li ul li a  ,CONTACT US,0,10
html body div div div ul li ul li a  ,CAREER,0,10
html body div section div div div div div h1  ,ช้างชนช้าง! เปิดโผละครล็อตใหม่วิกหมอชิตและหนองแขม เรื่องไหนต้องปะทะฟาดกันบ้าง!?,1,10
html body div section div div div div div ul li a  ,23 มีค. 2564,1,12
html body div section div div div div div div strong  ,0,0,11
html body div section div div div div div p span strong  ,ช้างชนช้าง! เปิดโผละครล็อตใหม่วิกหมอชิตและหนองแขม เรื่องไหนต้องปะทะฟาดกันบ้าง!?,0,12
html body div section div div div div div p span strong  ,ยังคงได้รับความสนใจของแฟนละครจอแก้วในทุกๆ ล็อต สำหรับละครช่วงไพร์มไทม์สองสถานียักษ์ใหญ่ที่ครองใจแฟนละครมายาวนาน อย่างวิกหมอชิตและหนองแขม และก็เหมือนนัดกันมา เมื่อละครเรื่องใหม่ เข็นลงจอพร้อมๆ กัน,1,12
html body div section div div div div div p span strong  ,"เริ่มจากวันจันทร์-อังคารวิกสามนำละคร ""บาปอยุติธรรม"" ลงจอ การพบกันของพระเอกสายเกรียน ""บอย ปกรณ์"" และ ""จีน่า ญานี"" ลงตัวนำไปก่อนในสัปดาห์แรก วิกหมอชิต เสิร์ฟละคร ""เพลิงปริศนา"" พบกันอีกครั้งของ ""อ๋อม อัครพันธ์"" และ ""แซมมี่ เคาวเวลล์"" ซึ่งเป็นผลงานวิกหมอชิต เรื่องสุดท้ายก่อนตัดสินใจเป็นนักแสดงอิสระของเธอ",1,12
html body div section div div div div div p span strong  ,"ไปต่อที่วันพุธและพฤหัสบดี ถึงเวลาแล้วกับ ""มายาเสน่หา"" เรื่องนี้ ""เคน ภูภูมิ"" ประกบคู่ ""ไอซ์ ปรีชญา"" ยิงทีเซอร์ออกมาน่า สำหรับวิกหมอชิต นำละครผีหลอน ""ตุ๊กตา"" ที่ประสบความสำเร็จมาแล้วกับวลีฮิต ""หนูอยากกลับบ้าน"" ขึ้นแท่นนางเอกหลังข่าว ""แม็กกี้ อาภา"" ร่วมงาน ""บูม กิตตน์ก้อง""",1,12
html body div section div div div div div p span strong  ,"ปิดท้ายคืนวันศุกร์-เสาร์-อาทิตย์"" วิกสามตัดสินใจนำละคร ""อุบัติรักอุบัติร้าย"" ลงจอทันควันดัน ""โม มนชนก"" ปะฉะดะ ""มาสุ"" ด้านวิกหมอชิตปลี่ยนแนวเข็นละครบู๊ ""ทะเลเดือด"" ใครคิดถึง ""ทับทิม อัญรินทร์"" และ ""หลุยส์ เฮส"" จับปืนสู้กันอีกครั้งห้ามพลาด",1,12
html body div section div div div div div p span strong  ,แฟนๆ ชอบละครสไตล์ไหนก็เปิดรับชมกันได้เลย,1,12
html body div section div div div div div div span  ,TAG :,0,11
html body div section div div div div div div a  ,Daradaily,0,11
html body div section div div div div div div a  ,NEWS,0,11
html body div section div div div div div div a  ,Today,0,11
html body div section div div div div div div a  ,ข่าว,0,11
html body div section div div div div div div a  ,ข่าวHOT,0,11
html body div section div div div div div div a  ,ข่าวดารา,0,11
html body div section div div div div div div a  ,ข่าวบันเทิง,0,11
html body div section div div div div div div a  ,ข่าวล่าสุด,0,11
html body div section div div div div div div a  ,ข่าววันนี้,0,11
html body div section div div div div div div a  ,ข่าวสด,0,11
html body div section div div div div div div a  ,ข่าวใหม่,0,11
html body div section div div div div div div a  ,ดาราเดลี่,0,11
html body div section div div div div div div div h2  ,ข่าวที่เกี่ยวข้อง,0,12
html body div section div div div div div div div div div div div ul li a  ,29 มีค. 2564,0,18
html body div section div div div div div div div div div div div ul li a  ,by daradaily,0,18
html body div section div div div div div div div div div h3 a  ,"เรื่องย่อ ""เพลิงปริศนา""",0,15
html body div section div div div div div div div div div div div ul li a  ,29 มีค. 2564,0,18
html body div section div div div div div div div div div div div ul li a  ,by daradaily,0,18
html body div section div div div div div div div div div h3 a  ,"เรื่องย่อ ""เพลิงปริศนา""",0,15
html body div section div div div div div div div div div div div ul li a  ,28 มีค. 2564,0,18
html body div section div div div div div div div div div div div ul li a  ,by daradaily,0,18
html body div section div div div div div div div div div h3 a  ,เช็กด่วน! พระ-นางฟรีแลนซ์ป้ายแดง ออร่าความปังมาเต็ม,0,15
html body div section div div div div div div div div div div div ul li a  ,28 มีค. 2564,0,18
html body div section div div div div div div div div div div div ul li a  ,by daradaily,0,18
html body div section div div div div div div div div div h3 a  ,เช็กด่วน! พระ-นางฟรีแลนซ์ป้ายแดง ออร่าความปังมาเต็ม,0,15
html body div section div div div div div div div div div div div ul li a  ,28 มีค. 2564,0,18
html body div section div div div div div div div div div div div ul li a  ,by daradaily,0,18
html body div section div div div div div div div div div h3 a  ,"ส่งกำลังใจให้ ""มุกดา"" หนังเรื่องแรก ลุ้นเป็นนางเอกร้อยล้านได้หรือไม่!?",0,15
html body div section div div div div div div div div div div div ul li a  ,27 มีค. 2564,0,18
html body div section div div div div div div div div div div div ul li a  ,by daradaily,0,18
html body div section div div div div div div div div div h3 a  ,“กลัฟ คณาวุฒิ” เผยหลังได้ช่อดอกไม้เงินเหยียบ 3 ล้าน แย้มอยากร่วมงาน “บอย ปกรณ์”,0,15
html body div section div div div div div div div div div div div ul li a  ,25 มีค. 2564,0,18
html body div section div div div div div div div div div div div ul li a  ,by daradaily,0,18
html body div section div div div div div div div div div h3 a  ,"""ตุ๊กตา"" ละครลี้ลับชวนหลอนความหวังหมู่บ้าน ตอนแรกคุ้มค่าการรอคอย!?",0,15
html body div section div div div div div div div h2  ,Gallery ที่เกี่ยวข้อง,0,12
html body div section div div div div div div div div div div div a  ,63 Photos,0,16
html body div section div div div div div div div div div div h3 a  ,"บรรยากาศงานเปิดตัวภาพยนตร์ เรื่อง ""เฮ้ยลูกพี่​ นี่ลูกพ่อ""​",0,16
html body div section div div div div div div div div div div div ul li a  ,9 ตค. 2563,0,18
html body div section div div div div div div div div div div div a  ,18 Photos,0,16
html body div section div div div div div div div div div div h3 a  ,"""แซมมี่-ใบเฟิร์น-แนท-คารีสา"" ร่วมงาน Wedding Fair 2020 by NEO",0,16
html body div section div div div div div div div div div div div ul li a  ,13 กย. 2563,0,18
html body div section div div div div div div div div div div div a  ,24 Photos,0,16
html body div section div div div div div div div div div div h3 a  ,"หมาก คิม นำทีมเปิดตัว ""Avatar""",0,16
html body div section div div div div div div div div div div div ul li a  ,9 กค. 2560,0,18
html body div section div div div div div div div div div div div a  ,32 Photos,0,16
html body div section div div div div div div div div div div h3 a  ,"บอย, ภัทร, ดิว, ใบเฟิร์น, เชียร์, ณิชา งานเปิดตัวคลีนิกความงาม",0,16
html body div section div div div div div div div div div div div ul li a  ,22 มิย. 2560,0,18
html body div section div div div div div div div div div div div a  ,18 Photos,0,16
html body div section div div div div div div div div div div h3 a  ,"บอย, มิว, แพทริเซีย, หมาก งานแอพซื้อของออนไลน์",0,16
html body div section div div div div div div div div div div div ul li a  ,19 มิย. 2560,0,18
html body div section div div div div div div div div div div div a  ,90 Photos,0,16
html body div section div div div div div div div div div div h3 a  ,"เหล่าเพื่อนดาราแห่ร่วมงานบวช ""เกรท วรินทร""",0,16
html body div section div div div div div div div div div div div ul li a  ,9 มิย. 2560,0,18
html body div section div div div div div div span  ,Comments,0,11
html body div section div div aside div div div a h3  ,เรื่องย่อละคร,0,12
html body div section div div aside div div div a h3  ,Movie & Series,0,12
html body div section div div aside div div div div div h3 a  ,SEOBOK : ซอบก,0,14
html body div section div div aside div div div div div h3 a  ,Happy Together : โลกนี้รักใครไม่ได้นอกจากเขา,0,14
html body div section div div aside div div div div div h3 a  ,My Rhythm : มายริทึ่ม,0,14
html body div footer div section div ul li a  ,Facebook,0,10
html body div footer div section div ul li a  ,Twitter,0,10
html body div footer div section div ul li a  ,Instagram,0,10
html body div footer div section div ul li a  ,Youtube,0,10
html body div footer div section div ul li a  ,LINE,0,10
html body div footer div section div div p  ,"9 Soi Ladplakao 14, Ladplakao Rd., Jorakaebua, Ladprao, Bangkok 10230 Thailand",0,9
html body div footer div section div div p  ,"Tel :: (+662) 116-6888, Fax :: (+662) 116-9821",0,9
html body div footer div section div div div div  ,สมาชิกของ,0,10
html body div footer div section div div div div  ,สมาคมผู้ผลิตข่าวออนไลน์,0,10
html body div footer div div span  ,"				©2013. Daradaily Co., Ltd. All rights reserved.			",0,7
html body div footer div div ul li a  ,ABOUT,0,9
html body div footer div div ul li a  ,CONTACT,0,9
html body div footer div div ul li a  ,CAREER,0,9
html body div footer div div ul li a  ,PRIVACY POLICY,0,9
html body div div div  ,[x]			close,0,5
